"","X","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","alpha_0","beta","gamma","w","a","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"27",27,0.692818,139.83202,0.348141,0.388947,9.1e-05,0,0.172204,0.002424,0,0.11861,0.000144,0,0.058699,7.9e-05,0.692818,139.83202,0.348141,0.388947,9.1e-05,1.263222134097e-62,0.102986903352729,8.7362526149929e-05,1.53422950937093e-63,0.0883369362798851,8.54146409762809e-05,2.29013162221644e-65,0.0431306783184504,7.59134011658812e-05
"28",28,0.971998,106.36562,0.222351,0.374285,5.4e-05,8154.548,0.56147,0.000143,6602.5,0.549125,0.000133,0,0.118369,0.000373,0.971998,106.36562,0.222351,0.374285,5.4e-05,4307.00886438318,0.533826130261085,0.000136414141434722,1720.37836033176,0.517406768834574,0.000132547780536284,8.14867915722266e-38,0.0796347650035071,0.000260018767714055
"29",29,1.175582,80.83385,0.213671,0.118001,6e-05,12915.26,0.564196,0.000124,11819.23,0.554492,0.000126,4193.373,0.508197,0.000255,1.175582,80.83385,0.213671,0.118001,6e-05,10512.212900323,0.54445014078889,0.000136065605519322,8636.55597758988,0.531929059903555,0.000162840945953923,95.5194700855305,0.597246982953963,0.000205992350751974
"30",30,1.828215,131.04968,0.154165,0.123499,6e-05,25562.51,0.589086,8.2e-05,25139.31,0.584773,8.8e-05,4471.313,0.515504,0.000295,1.828215,131.04968,0.154165,0.123499,6e-05,24527.531819359,0.580085175638064,0.000102835505820762,23207.7567600114,0.572511669317673,0.000146745199966488,5.00712832668843e-25,0.0973209729492297,0.000670592307927419
"31",31,1.037783,103.99821,0.286114,0.027127,8.5e-05,6998.632,0.562413,0.000111,5706.638,0.549325,0.000105,0,0.121258,0.000285,1.037783,103.99821,0.286114,0.027127,8.5e-05,3784.10697971316,0.53242676085764,9.98328904159694e-05,8.32488609762413e-43,0.200016157816504,0.000771445369516172,6.54890428307051e-49,0.0915161686050506,0.00024250259785881
"32",32,2.044055,78.52543,0.170402,0.389957,7.4e-05,18750.8,0.576673,1e-04,18096.75,0.569528,0.000106,13542.77,0.537716,0.000177,2.044055,78.52543,0.170402,0.389957,7.4e-05,17221.0810844158,0.56173179238961,0.000116778297289643,15962.7027851842,0.552497510597632,0.000136088035104806,8067.96616827326,0.508421749875482,0.00024902881696654
"33",33,0.780359,126.1898,0.343884,0.056349,1.9e-05,17809.28,0.571634,0.000138,13318.09,0.560707,0.000143,0,0.083031,0.000245,0.780359,126.1898,0.343884,0.056349,1.9e-05,49.8729506253241,0.529547338221059,0.000125176794351791,0.582195330209744,0.505985615778139,6.21963521382925e-05,7.96674635900675e-63,0.0569332406609722,0.000174133780902854
"34",34,1.308692,32.25231,0.23138,0.11279,2e-06,478436.5,0.597562,0.00078,478303.3,0.596436,0.000781,477637.3,0.593068,0.000787,1.308692,32.25231,0.23138,0.11279,2e-06,511348.546662852,0.595767250443935,0.000808102670667658,511151.908905296,0.594742993106201,0.000809895316810688,510715.630237902,0.59284580236098,0.000816080747624898
"35",35,1.717135,122.34717,0.14997,0.066247,8.3e-05,17606.85,0.583509,7.6e-05,16966.35,0.576887,8.5e-05,1658.746,0.508981,0.000386,1.717135,122.34717,0.14997,0.066247,8.3e-05,15910.5313460951,0.56898040549442,0.00010234780003711,13480.7179572634,0.554939393259636,0.000147590772172128,576.541847038878,0.49020834931287,0.00027223918405666
"36",36,1.137983,80.13257,0.142397,0.353812,7.5e-05,8573.906,0.555689,0.00014,7712.944,0.545654,0.000134,3766.099,0.508008,0.000217,1.137983,80.13257,0.142397,0.353812,7.5e-05,6731.36341185474,0.535414779787456,0.000141923902677383,5520.17170379568,0.523663141061078,0.00016249323839857,1.40935412921406e-11,0.268846759070059,0.00166869648639583
