Day,Date,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
8,20240228,Lin-1,Linear,1,35200,188000,76200,99800,45660.6322
8,20240228,Lin-2,Linear,2,188000,164000,135000,162333.3333,15322.45991
8,20240228,Lin-3,Linear,3,170000,147000,76200,131066.6667,28225.3629
8,20240228,Lin-4,Linear,4,176000,70400,123000,123133.3333,30484.16711
8,20240228,Lin-5,Linear,5,93800,82100,129000,101633.3333,14094.00976
8,20240228,Lin-6,Linear,6,293000,176000,41100,170033.3333,72778.4385
8,20240228,Lin-7,Linear,7,176000,141000,0,105666.6667,53790.74683
8,20240228,SD025-1,SD025,1,235000,93800,106000,144933.3333,45170.83622
8,20240228,SD025-2,SD025,2,99700,158000,211000,156233.3333,32141.68287
8,20240228,SD025-3,SD025,3,70400,135000,117000,107466.6667,19247.97248
8,20240228,SD025-4,SD025,4,52800,29300,41100,41066.66667,6783.886136
8,20240228,SD025-5,SD025,5,0,5830,293000,99610,96709.64499
8,20240228,Sd025-6,SD025,6,369000,11700,93800,158166.6667,108048.0192
8,20240228,SD025-7,SD025,7,205000,182000,182000,189666.6667,7666.666667
8,20240228,SD100-1,SD100,1,223000,287000,364000,291333.3333,40760.81997
8,20240228,SD100-2,SD100,2,328000,144000,223000,231666.6667,53292.69285
8,20240228,SD100-3,SD100,3,188000,287000,141000,205333.3333,43028.41438
8,20240228,SD100-4,SD100,4,293000,264000,264000,273666.6667,9666.666667
8,20240228,SD100-5,SD100,5,223000,270000,364000,285666.6667,41450.10387
8,20240228,SD100-6,SD100,6,258000,318000,516000,364000,77948.70108
8,20240228,SD100-7,SD100,7,205000,158000,99700,154233.3333,30455.77851
9,20240229,Cont-1,Control,1,0,11700,0,3900,3900
9,20240229,Cont-2,Control,2,11700,158000,0,56566.66667,50829.00528
9,20240229,Cont-3,Control,3,0,64800,23500,29433.33333,18939.9343
9,20240229,Lin-1,Linear,1,129000,147000,58600,111533.3333,26971.91955
9,20240229,Lin-2,Linear,2,258000,123000,217000,199333.3333,39959.70192
9,20240229,Lin-3,Linear,3,199000,229000,246000,224666.6667,13739.64256
9,20240229,Lin-4,Linear,4,264000,141000,340000,248333.3333,57977.96516
9,20240229,Lin-5,Linear,5,170000,235000,317000,240666.6667,42529.72816
9,20240229,Lin-6,Linear,6,188000,170000,182000,180000,5291.502622
9,20240229,Lin-7,Linear,7,176000,522000,328000,342000,100126.5865
9,20240229,SD025-1,SD025,1,199000,381000,375000,318333.3333,59691.80104
9,20240229,SD025-2,SD025,2,147000,493000,311000,317000,99926.63976
9,20240229,SD025-3,SD025,3,399000,287000,240000,308666.6667,47160.48252
9,20240229,SD025-4,SD025,4,270000,305000,211000,262000,27428.69544
9,20240229,SD025-5,SD025,5,405000,317000,305000,342333.3333,31524.24111
9,20240229,Sd025-6,SD025,6,170000,270000,240000,226666.6667,29627.31472
9,20240229,SD025-7,SD025,7,164000,211000,188000,187666.6667,13568.75496
9,20240229,SD100-1,SD100,1,311000,311000,246000,289333.3333,21666.66667
9,20240229,SD100-2,SD100,2,446000,516000,334000,432000,53003.14456
9,20240229,SD100-3,SD100,3,217000,393000,510000,373333.3333,85151.49898
9,20240229,SD100-4,SD100,4,276000,358000,598000,410666.6667,96611.4785
9,20240229,SD100-5,SD100,5,264000,176000,152000,197333.3333,34045.72089
9,20240229,SD100-6,SD100,6,199000,299000,604000,367333.3333,121803.5759
9,20240229,SD100-7,SD100,7,440000,287000,481000,402666.6667,59032.00638
10,20240301,Cont-1,Control,1,129000,0,0,43000,43000
10,20240301,Cont-2,Control,2,0,164000,0,54666.66667,54666.66667
10,20240301,Cont-3,Control,3,0,0,0,0,0
10,20240301,Lin-1,Linear,1,129000,205000,164000,166000,21962.08855
10,20240301,Lin-2,Linear,2,82100,182000,99700,121266.6667,30788.76058
10,20240301,Lin-3,Linear,3,111000,106000,176000,131000,22546.24876
10,20240301,Lin-4,Linear,4,346000,223000,229000,266000,40037.48244
10,20240301,Lin-5,Linear,5,88000,117000,129000,111333.3333,12170.09084
10,20240301,Lin-6,Linear,6,235000,422000,287000,314666.6667,55726.51473
10,20240301,Lin-7,Linear,7,328000,182000,199000,236333.3333,46095.31189
10,20240301,SD025-1,SD025,1,246000,205000,229000,226666.6667,11893.04185
10,20240301,SD025-2,SD025,2,223000,328000,217000,256000,36041.64258
10,20240301,SD025-3,SD025,3,194000,299000,205000,232666.6667,33318.32996
10,20240301,SD025-4,SD025,4,129000,123000,158000,136666.6667,10806.37672
10,20240301,SD025-5,SD025,5,346000,358000,240000,314666.6667,37493.70318
10,20240301,Sd025-6,SD025,6,592000,416000,258000,422000,96464.15569
10,20240301,SD025-7,SD025,7,305000,252000,93800,216933.3333,63439.24478
