"","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"2397",1.696972,135.7309,0.370386,0.18811,9.5e-05,12429.1064077006,0.598529940267629,0.000174147344893226,12423.539488827,0.597822626675625,0.000174661015805141,12418.3636824035,0.597221684759667,0.000175770886586802,12419.7558526296,0.596840281405374,0.000178812096485323,12443.0877169553,0.595852331872876,0.000196359704663718,3.36347885940005e-37,0.230215331543867,7.35024693696963e-05
"2398",1.056932,100.25436,0.102388,0.388447,2.1e-05,36859.7120631694,0.598998193648743,0.00046896155328159,36855.4464488669,0.598527952398159,0.000469453691485893,36852.1070997272,0.598132744744941,0.000470315695064431,36854.8953572944,0.59791603323664,0.000471875522520957,36872.830506263,0.597891176254986,0.000475609664979841,36958.4437260339,0.597638453863196,0.000494078190023696
"2399",1.635694,85.56327,0.341665,0.286597,7.8e-05,13624.2517280095,0.596838663397208,0.000241568666886501,13606.0157931978,0.595374224649697,0.000242933134587975,13582.2927607562,0.59392491004911,0.000245470608460361,13559.0129390809,0.592633623323354,0.000250391168562988,13547.7916030599,0.591623166606872,0.000261344941983418,13560.141621052,0.59034664762472,0.000295764330021576
"2400",1.848068,50.12822,0.109264,0.067733,1.4e-05,124253.072482979,0.599970379908869,0.0008357253373571,124253.068550798,0.599955631911913,0.000835726063930677,124253.063981469,0.599941366483953,0.000835727137516189,124253.060574128,0.599928510233114,0.000835728595268068,124253.06178304,0.599918544090076,0.000835730489350373,124253.07311086,0.599912991330856,0.000835733040361495
"2401",2.066991,105.42809,0.319594,0.022674,6e-06,317360.337743052,0.599999999518132,0.000859148077808012,317360.337743052,0.599999999281086,0.000859148077808012,317360.337743052,0.59999999909045,0.000859148077808012,317360.337743052,0.599999999014831,0.00085914807780802,317360.337743052,0.59999999903705,0.000859148077808034,317360.337743055,0.599999998919337,0.000859148077808094
"2402",0.75171,47.06372,0.125155,0.355403,2.7e-05,18276.8745397139,0.587737477650383,0.00058037207408979,18130.6675965379,0.583575358185819,0.000590221442477378,17934.8735842592,0.57923890619064,0.000605982760635298,17689.3509679876,0.574800037293384,0.000630819455879626,17401.8366679831,0.570404417142596,0.000670333550487777,17088.5264057969,0.566258438956246,0.000735169716638091
"2403",1.798477,66.69398,0.171656,0.257447,4.6e-05,30630.1368899308,0.599033294067636,0.000386210620579506,30627.7141355004,0.598568356191596,0.000386453433575796,30624.7168376753,0.598125825579857,0.000386844584834407,30622.0251674743,0.597749168906824,0.000387456746784836,30621.2440567753,0.597493415563191,0.000388466465477917,30624.5429074372,0.597364115473785,0.000390506047353393
"2404",2.213335,79.5421,0.387492,0.357853,1.7e-05,86865.3955731751,0.599980384147669,0.000552981452755573,86865.3930844884,0.59997041555626,0.000552981779981214,86865.390747057,0.599961011600668,0.000552982299088735,86865.3913689152,0.599953733867237,0.000552983071511728,86865.4004804997,0.599950327541088,0.000552984313514092,86865.4304413695,0.599949157404655,0.00055298729732812
"2405",1.826754,121.24648,0.10306,0.245314,4.5e-05,34015.2296367429,0.599832520530372,0.000298281580386055,34015.1339227828,0.599754743058692,0.000298298223687064,34015.0943882538,0.599697222644537,0.000298325518649507,34015.2804369904,0.599676492156872,0.000298377448478627,34016.2451088855,0.599663863692086,0.0002985807388934,34032.5699627714,0.599427310166394,0.000302100492770526
"2406",1.040252,115.75809,0.212366,0.339141,5.9e-05,11127.9956283265,0.594605750713789,0.00024191330419832,11071.7282408314,0.592263082136015,0.000246650596529442,11005.8107764422,0.590034050237062,0.00025682934864174,10958.6564302365,0.588164092809472,0.000281544659890753,10822.3577908405,0.58530092474444,0.000370019085848725,0.977598138253743,0.503693945970854,0.00138509192964183
